tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,anio_prestamo,mes_prestamo,dia_semana_prestamo,hora_prestamo,relacion_cuota_salario,relacion_deuda_salario,saldo_pendiente_estimado,prediccion_modelo,probabilidad_incumplimiento,probabilidad_pago_atiempo,resultado_prediccion
4,2025-04-04 10:21:00,4344000.0,6.0,43.0,Independiente,20000000.0,10000000.0,645827.0,95.227787,838.0,5.0,1.0,0.0,4223.0,4223.0,0.0,2.0,1.0,1.0,1000000.0,Estable,1,2025,4,4,10,0.03229135,0.7172,0.0,1,0.31508024084612785,0.6849197591538722,Pago a tiempo
4,2025-06-09 10:10:00,1131900.0,6.0,34.0,Empleado,1500000.0,480000.0,168281.0,95.227787,847.0,2.0,3.0,0.0,35.0,35.0,0.0,1.0,0.0,0.0,959344.0,Creciente,1,2025,6,0,10,0.1121873333333333,1.0746,0.0,1,0.2567729279155767,0.7432270720844233,Pago a tiempo
4,2025-06-15 16:25:00,1200000.0,6.0,68.0,Empleado,4000000.0,2500000.0,178476.0,49.161959,766.0,4.0,3.0,0.0,7506.0,7506.0,0.0,1.0,0.0,0.0,,,0,2025,6,6,16,0.044619,0.925,0.0,1,0.23784648521181484,0.7621535147881852,Pago a tiempo
4,2025-08-14 13:32:00,3360000.0,6.0,50.0,Independiente,3580000.0,1155000.0,505742.0,95.227787,922.0,5.0,4.0,0.0,41186.0,41186.0,0.0,4.0,1.0,0.0,969508.0,Creciente,1,2025,8,3,13,0.1412687150837988,1.261173184357542,0.0,1,0.20987107895876267,0.7901289210412373,Pago a tiempo
4,2025-02-15 13:10:00,2672400.0,12.0,42.0,Independiente,6000000.0,2000000.0,209955.0,95.227787,798.0,6.0,1.0,0.0,29601.0,29601.0,0.0,4.0,0.0,0.0,,,1,2025,2,5,13,0.0349925,0.7787333333333334,0.0,1,0.3972986283244587,0.6027013716755413,Pago a tiempo
9,2025-04-30 16:38:00,878880.0,5.0,49.0,Independiente,5000000.0,2000000.0,142664.0,95.227787,820.0,13.0,12.0,0.0,36418.0,18861.0,0.0,6.0,0.0,4.0,941789.0,Creciente,1,2025,4,2,16,0.0285328,0.575776,17557.0,1,0.49401727494852143,0.5059827250514786,Pago a tiempo
9,2025-03-26 16:35:00,878880.0,11.0,45.0,Independiente,5000000.0,2000000.0,68496.0,95.227787,732.0,9.0,13.0,0.0,41386.0,41386.0,0.0,3.0,1.0,4.0,925157.0,Creciente,1,2025,3,2,16,0.0136992,0.575776,0.0,0,0.6621777878225761,0.33782221217742386,Posible incumplimiento
9,2025-06-15 15:40:00,1269000.0,3.0,46.0,Empleado,5000000.0,2000000.0,337095.0,95.227787,811.0,5.0,6.0,0.0,54767.0,54767.0,0.0,1.0,0.0,2.0,32826.0,Creciente,1,2025,6,6,15,0.067419,0.6538,0.0,1,0.4207510655778741,0.5792489344221259,Pago a tiempo
4,2025-06-20 11:28:00,7200000.0,12.0,60.0,Independiente,12000000.0,3000000.0,570791.0,95.227787,781.0,4.0,4.0,0.0,73341.0,73341.0,0.0,2.0,0.0,2.0,950105.0,Creciente,1,2025,6,4,11,0.0475659166666666,0.85,0.0,1,0.26312639205735233,0.7368736079426477,Pago a tiempo
9,2025-04-05 10:15:00,821208.0,2.0,61.0,Independiente,5000000.0,2000000.0,323844.0,46.387527,853.0,7.0,3.0,0.0,29344.0,29344.0,0.0,5.0,0.0,1.0,66667.0,Estable,0,2025,4,5,10,0.0647688,0.5642416,0.0,1,0.43327846344370136,0.5667215365562986,Pago a tiempo
4,2024-11-28 16:15:00,3191760.0,6.0,62.0,Independiente,8000000.0,4000000.0,472442.0,,810.0,15.0,4.0,0.0,311060.0,311060.0,0.0,6.0,0.0,5.0,,,0,2024,11,3,16,0.05905525,0.89897,0.0,1,0.34075942164058104,0.659240578359419,Pago a tiempo
9,2025-05-11 11:10:00,1604400.0,5.0,56.0,Independiente,5000000.0,2000000.0,260433.0,40.818275,797.0,6.0,7.0,0.0,57902.0,55711.0,0.0,3.0,1.0,2.0,933473.0,Creciente,0,2025,5,6,11,0.0520866,0.72088,2191.0,0,0.5205532498706866,0.4794467501293133,Posible incumplimiento
4,2025-02-20 16:45:00,1650000.0,12.0,44.0,Independiente,1400000.0,700000.0,129621.0,95.227787,868.0,8.0,3.0,0.0,5201.0,5201.0,0.0,2.0,1.0,0.0,1204496.0,Creciente,1,2025,2,3,16,0.0925864285714285,1.6785714285714286,0.0,1,0.2664515244036584,0.7335484755963416,Pago a tiempo
4,2025-04-09 08:13:00,1749600.0,6.0,50.0,Independiente,4000000.0,1500000.0,260027.0,,784.0,4.0,2.0,0.0,14981.0,14981.0,0.0,2.0,0.0,0.0,,,0,2025,4,2,8,0.06500675,0.8124,0.0,1,0.35564177666815644,0.6443582233318436,Pago a tiempo
9,2025-04-26 15:26:00,1269000.0,5.0,40.0,Independiente,5000000.0,2000000.0,205990.0,95.227787,749.0,6.0,7.0,0.0,28101.0,28101.0,0.0,3.0,0.0,3.0,,,1,2025,4,5,15,0.041198,0.6538,0.0,0,0.5880086583110755,0.41199134168892454,Posible incumplimiento
4,2025-01-04 15:38:00,4944000.0,6.0,51.0,Independiente,30000000.0,10000000.0,732474.0,95.227787,863.0,9.0,12.0,0.0,228980.0,228980.0,0.0,7.0,0.0,1.0,2345454.0,Creciente,1,2025,1,5,15,0.0244158,0.4981333333333333,0.0,0,0.6182524314164983,0.38174756858350173,Posible incumplimiento
4,2025-08-12 18:57:00,1029024.0,6.0,63.0,Independiente,8370000.0,489000.0,154111.0,89.2295,872.0,5.0,8.0,0.0,44108.0,44108.0,0.0,3.0,0.0,0.0,,,1,2025,8,1,18,0.0184123058542413,0.1813648745519713,0.0,1,0.24580151415547824,0.7541984858445218,Pago a tiempo
4,2025-01-21 17:09:00,1200000.0,6.0,57.0,Empleado,3000000.0,1000000.0,166667.0,95.227787,780.0,1.0,2.0,0.0,141.0,141.0,0.0,0.0,0.0,0.0,6703319.0,Creciente,1,2025,1,1,17,0.0555556666666666,0.7333333333333333,0.0,1,0.18138525710686615,0.8186147428931339,Pago a tiempo
4,2025-08-18 15:28:00,8650000.0,6.0,50.0,Independiente,8470000.0,2724000.0,1301985.0,95.227787,812.0,7.0,3.0,0.0,102377.0,11843.0,0.0,4.0,0.0,2.0,333135.0,Decreciente,1,2025,8,0,15,0.1537172373081464,1.3428571428571427,90534.0,1,0.23073645884756622,0.7692635411524338,Pago a tiempo
4,2025-01-09 10:48:00,1905154.0,6.0,46.0,Independiente,5000000.0,2000000.0,282256.0,95.227787,798.0,8.0,1.0,0.0,13222.0,10659.0,0.0,0.0,3.0,0.0,,,1,2025,1,3,10,0.0564512,0.7810308,2563.0,1,0.2707325525935951,0.7292674474064049,Pago a tiempo
4,2025-04-12 15:32:00,2301030.0,10.0,42.0,Independiente,10600000.0,0.0,213136.0,95.227787,782.0,8.0,5.0,0.0,63456.0,63456.0,0.0,3.0,0.0,4.0,,,1,2025,4,5,15,0.0201071698113207,0.2170783018867924,0.0,0,0.5294485022843354,0.47055149771566457,Posible incumplimiento
4,2025-04-08 15:45:00,1199880.0,6.0,39.0,Empleado,1200000.0,500000.0,178377.0,95.227787,834.0,3.0,0.0,0.0,39.0,39.0,0.0,1.0,0.0,0.0,1023333.0,Creciente,1,2025,4,1,15,0.1486475,1.4165666666666668,0.0,1,0.18570344790351756,0.8142965520964824,Pago a tiempo
4,2024-12-28 17:28:00,1806840.0,6.0,62.0,Empleado,1100000.0,500000.0,268172.0,95.227787,812.0,5.0,0.0,0.0,797.0,797.0,0.0,2.0,0.0,0.0,1136219.0,Creciente,1,2024,12,5,17,0.2437927272727272,2.0971272727272727,0.0,1,0.22141618433915788,0.7785838156608421,Pago a tiempo
4,2025-01-10 14:03:00,1499640.0,12.0,57.0,Independiente,4000000.0,1400000.0,117664.0,95.227787,828.0,8.0,2.0,0.0,79078.0,58662.0,0.0,3.0,1.0,1.0,908526.0,Estable,1,2025,1,4,14,0.029416,0.72491,20416.0,1,0.31480260810748584,0.6851973918925142,Pago a tiempo
4,2025-02-17 12:13:00,3516000.0,6.0,53.0,Independiente,10000000.0,3000000.0,522198.0,95.227787,724.0,5.0,3.0,0.0,235751.0,235751.0,0.0,2.0,0.0,2.0,916841.0,Creciente,1,2025,2,0,12,0.0522198,0.6516,0.0,1,0.40752523519867445,0.5924747648013255,Pago a tiempo
4,2025-02-18 11:35:00,2014699.0,10.0,55.0,Independiente,1400000.0,600000.0,186892.0,95.227787,800.0,1.0,2.0,0.0,1409.0,1409.0,0.0,0.0,0.0,1.0,,,1,2025,2,1,11,0.1334942857142857,1.8676421428571428,0.0,1,0.37613472920736735,0.6238652707926327,Pago a tiempo
9,2024-12-05 13:58:00,1084187.0,5.0,59.0,Independiente,4000000.0,2000000.0,175581.0,95.227787,677.0,3.0,0.0,132.0,15286.0,15286.0,,2.0,0.0,1.0,,,1,2024,12,3,13,0.04389525,0.77104675,0.0,1,0.3994887778942432,0.6005112221057568,Pago a tiempo
4,2025-02-26 13:58:00,3350161.0,12.0,38.0,Empleado,3500000.0,500000.0,263530.0,95.227787,856.0,4.0,4.0,0.0,56602.0,56602.0,0.0,2.0,0.0,0.0,3118405.0,Creciente,1,2025,2,2,13,0.0752942857142857,1.100046,0.0,1,0.24466552134233877,0.7553344786576612,Pago a tiempo
4,2024-12-18 17:03:00,5230200.0,12.0,42.0,Independiente,5000000.0,1000000.0,410396.0,95.227787,820.0,7.0,2.0,0.0,668.0,668.0,0.0,1.0,0.0,2.0,908526.0,Estable,1,2024,12,2,17,0.0820792,1.24604,0.0,1,0.27390870979371984,0.7260912902062802,Pago a tiempo
4,2025-03-22 11:50:00,2254020.0,6.0,42.0,Independiente,6000000.0,2200000.0,335012.0,58.597591,772.0,5.0,9.0,0.0,36004.0,995.0,0.0,2.0,0.0,0.0,908526.0,Estable,0,2025,3,5,11,0.0558353333333333,0.7423366666666666,35009.0,0,0.6053355086997421,0.3946644913002579,Posible incumplimiento
9,2025-05-23 16:01:00,1269000.0,7.0,41.0,Independiente,5000000.0,2000000.0,150036.0,95.227787,734.0,23.0,5.0,0.0,222010.0,222010.0,0.0,13.0,0.0,6.0,3917774.0,Creciente,1,2025,5,4,16,0.0300072,0.6538,0.0,1,0.2568855806547711,0.7431144193452289,Pago a tiempo
4,2025-04-04 16:51:00,1712500.0,12.0,41.0,Independiente,4000000.0,3000000.0,134764.0,95.227787,758.0,7.0,9.0,0.0,37776.0,18957.0,0.0,4.0,0.0,1.0,294430.0,Decreciente,1,2025,4,4,16,0.033691,1.178125,18819.0,0,0.5576382470757095,0.4423617529242904,Posible incumplimiento
9,2025-05-28 09:42:00,442560.0,2.0,47.0,Independiente,5000000.0,2000000.0,174626.0,95.227787,757.0,1.0,8.0,0.0,53.0,53.0,0.0,0.0,0.0,1.0,,,1,2025,5,2,9,0.0349252,0.488512,0.0,0,0.5412876681525962,0.45871233184740384,Posible incumplimiento
4,2025-08-10 15:53:00,2019600.0,6.0,64.0,Empleado,3000000.0,1000000.0,299446.0,95.227787,874.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1033825.0,Creciente,1,2025,8,6,15,0.0998153333333333,1.0065333333333333,0.0,1,0.218204830184617,0.781795169815383,Pago a tiempo
4,2025-07-04 12:52:00,3600000.0,8.0,55.0,Independiente,3000000.0,2000000.0,413020.0,95.227787,814.0,5.0,3.0,0.0,8817.0,8817.0,0.0,2.0,0.0,2.0,,,1,2025,7,4,12,0.1376733333333333,1.8666666666666667,0.0,1,0.2791480604099015,0.7208519395900985,Pago a tiempo
4,2025-08-10 15:07:00,636000.0,6.0,65.0,Independiente,954263.0,1127000.0,95739.0,95.227787,868.0,5.0,9.0,0.0,16556.0,16556.0,0.0,5.0,0.0,0.0,954263.0,Creciente,1,2025,8,6,15,0.1003276874404645,1.8474990647232472,0.0,1,0.39149214587844394,0.6085078541215561,Pago a tiempo
4,2024-12-30 12:11:00,3810308.0,12.0,55.0,Empleado,3000000.0,1000000.0,297986.0,95.227787,788.0,9.0,3.0,0.0,51322.0,51322.0,0.0,2.0,1.0,4.0,992011.0,Decreciente,1,2024,12,0,12,0.0993286666666666,1.603436,0.0,1,0.3305923000326524,0.6694076999673476,Pago a tiempo
4,2025-08-11 10:15:00,1534020.0,6.0,53.0,Independiente,2090000.0,0.0,230921.0,95.227787,782.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,2025,8,0,10,0.1104885167464114,0.7339808612440192,0.0,1,0.24583399713421716,0.7541660028657828,Pago a tiempo
4,2025-05-05 13:39:00,3661855.0,6.0,61.0,Independiente,15000000.0,3000000.0,545699.0,84.730786,805.0,5.0,6.0,0.0,34467.0,34467.0,0.0,4.0,0.0,0.0,,,1,2025,5,0,13,0.0363799333333333,0.4441236666666667,0.0,1,0.33179112682671463,0.6682088731732854,Pago a tiempo
4,2025-04-05 17:06:00,1929480.0,6.0,49.0,Empleado,6800000.0,2500000.0,286841.0,95.227787,801.0,6.0,3.0,0.0,82874.0,82874.0,0.0,4.0,0.0,1.0,31156.0,Creciente,1,2025,4,5,17,0.0421825,0.6513941176470588,0.0,1,0.32332177478328705,0.676678225216713,Pago a tiempo
9,2025-04-23 09:45:00,1269000.0,5.0,65.0,Independiente,5000000.0,2000000.0,205990.0,,871.0,4.0,8.0,0.0,115382.0,115382.0,0.0,2.0,0.0,1.0,,,0,2025,4,2,9,0.041198,0.6538,0.0,1,0.4250482620409227,0.5749517379590773,Pago a tiempo
9,2025-02-13 14:26:00,3586916.0,9.0,41.0,Independiente,3800000.0,1600000.0,335308.0,95.227787,723.0,18.0,3.0,0.0,86990.0,86990.0,0.0,15.0,0.0,2.0,2021403.0,Decreciente,1,2025,2,3,14,0.088238947368421,1.364977894736842,0.0,1,0.27884460123872856,0.7211553987612714,Pago a tiempo
9,2025-03-20 11:21:00,878880.0,3.0,60.0,Independiente,5000000.0,2000000.0,233237.0,95.227787,831.0,2.0,2.0,0.0,89.0,89.0,0.0,0.0,0.0,1.0,2630127.0,Decreciente,1,2025,3,3,11,0.0466474,0.575776,0.0,1,0.3388944946646396,0.6611055053353604,Pago a tiempo
9,2025-04-30 18:11:00,1269000.0,5.0,41.0,Independiente,5000000.0,2000000.0,205990.0,89.2295,751.0,11.0,5.0,0.0,38278.0,38278.0,0.0,7.0,0.0,1.0,1043410.0,Creciente,1,2025,4,2,18,0.041198,0.6538,0.0,1,0.3049697177486106,0.6950302822513894,Pago a tiempo
9,2025-04-05 12:28:00,878880.0,2.0,38.0,Independiente,4000000.0,2000000.0,346587.0,95.227787,779.0,10.0,7.0,0.0,100471.0,100471.0,0.0,5.0,1.0,2.0,931394.0,Creciente,1,2025,4,5,12,0.08664675,0.71972,0.0,0,0.5712387275507922,0.42876127244920775,Posible incumplimiento
4,2025-04-13 13:21:00,2349480.0,12.0,56.0,Independiente,5000000.0,1200000.0,184891.0,95.227787,867.0,2.0,3.0,0.0,4701.0,4701.0,0.0,1.0,1.0,0.0,908526.0,Estable,1,2025,4,6,13,0.0369782,0.709896,0.0,1,0.38438356201349655,0.6156164379865035,Pago a tiempo
9,2025-07-03 16:46:00,719785.0,8.0,50.0,Independiente,5000000.0,2000000.0,75201.0,91.410695,794.0,9.0,8.0,0.0,50113.0,50113.0,0.0,5.0,1.0,2.0,954263.0,Creciente,1,2025,7,3,16,0.0150402,0.543957,0.0,1,0.36114657687884866,0.6388534231211513,Pago a tiempo
4,2025-01-26 14:05:00,3105240.0,6.0,43.0,Independiente,10000000.0,5000000.0,460102.0,89.979287,769.0,10.0,5.0,0.0,25909.0,23476.0,0.0,4.0,0.0,1.0,1516832.0,Creciente,1,2025,1,6,14,0.0460102,0.810524,2433.0,0,0.5011598200188432,0.4988401799811569,Posible incumplimiento
9,2025-05-25 16:45:00,821208.0,2.0,20.0,Independiente,5000000.0,2000000.0,324034.0,95.227787,767.0,7.0,4.0,0.0,21034.0,18993.0,0.0,2.0,0.0,3.0,954263.0,Creciente,1,2025,5,6,16,0.0648068,0.5642416,2041.0,0,0.5440521017484805,0.4559478982515195,Posible incumplimiento
4,2025-01-10 16:14:00,3931081.0,12.0,65.0,Empleado,12000000.0,2500000.0,272992.0,95.227787,878.0,4.0,2.0,0.0,157.0,157.0,0.0,2.0,0.0,0.0,916148.0,Creciente,1,2025,1,4,16,0.0227493333333333,0.5359234166666667,0.0,1,0.1941115434266868,0.8058884565733132,Pago a tiempo
9,2025-05-10 16:37:00,1269000.0,2.0,53.0,Independiente,5000000.0,2000000.0,500578.0,95.227787,819.0,7.0,10.0,0.0,24602.0,21367.0,0.0,4.0,0.0,2.0,933473.0,Creciente,1,2025,5,5,16,0.1001156,0.6538,3235.0,0,0.6256763667342351,0.37432363326576484,Posible incumplimiento
4,2025-02-01 18:15:00,779880.0,24.0,65.0,Independiente,1500000.0,350000.0,34172.0,95.227787,811.0,4.0,1.0,0.0,2648.0,2648.0,0.0,0.0,0.0,1.0,,,1,2025,2,5,18,0.0227813333333333,0.7532533333333333,0.0,0,0.5182809356047313,0.4817190643952686,Posible incumplimiento
4,2025-01-22 13:31:00,3279120.0,12.0,62.0,Empleado,15000000.0,6000000.0,227717.0,95.227787,883.0,5.0,3.0,0.0,1477.0,1477.0,0.0,4.0,0.0,0.0,14708111.0,Creciente,1,2025,1,2,13,0.0151811333333333,0.618608,0.0,1,0.08584482409113547,0.9141551759088645,Pago a tiempo
4,2025-05-02 17:25:00,1633020.0,6.0,51.0,Independiente,5000000.0,2000000.0,242783.0,95.227787,865.0,7.0,3.0,0.0,31165.0,31165.0,0.0,5.0,0.0,1.0,939017.0,Creciente,1,2025,5,4,17,0.0485566,0.726604,0.0,1,0.26028922778413677,0.7397107722158632,Pago a tiempo
9,2025-01-01 12:49:00,2909441.0,10.0,65.0,Independiente,5000000.0,3000000.0,246765.0,95.227787,430.0,13.0,2.0,366.0,50549.0,50549.0,0.0,10.0,0.0,2.0,,,1,2025,1,2,12,0.049353,1.1818882,0.0,1,0.4854681007930979,0.5145318992069021,Pago a tiempo
9,2025-05-04 10:47:00,2113460.0,10.0,45.0,Independiente,3000000.0,1500000.0,179725.0,95.227787,841.0,6.0,2.0,0.0,15726.0,15726.0,0.0,2.0,1.0,1.0,939017.0,Creciente,1,2025,5,6,10,0.0599083333333333,1.2044866666666667,0.0,1,0.3692026442238676,0.6307973557761324,Pago a tiempo
4,2025-01-11 19:03:00,2340000.0,12.0,37.0,Empleado,3100000.0,200000.0,183599.0,95.227787,737.0,3.0,10.0,0.0,27267.0,27267.0,0.0,2.0,0.0,0.0,3021448.0,Creciente,1,2025,1,5,19,0.0592254838709677,0.8193548387096774,0.0,0,0.5763961530441143,0.4236038469558857,Posible incumplimiento
9,2025-02-03 17:07:00,2079050.0,9.0,67.0,Independiente,3000000.0,1200000.0,194165.0,95.227787,876.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,908526.0,Estable,1,2025,2,0,17,0.0647216666666666,1.0930166666666667,0.0,1,0.23082520068747536,0.7691747993125246,Pago a tiempo
9,2024-12-06 17:11:00,677718.0,10.0,68.0,Empleado,,0.0,57390.0,95.227787,799.0,1.0,1.0,0.0,71240.0,71240.0,0.0,1.0,0.0,0.0,2711627.0,Creciente,1,2024,12,4,17,,,0.0,1,0.24368878316019227,0.7563112168398077,Pago a tiempo
9,2025-09-10 13:43:00,3511210.0,10.0,66.0,Empleado,9230000.0,4988000.0,302040.0,95.227787,820.0,14.0,3.0,0.0,163618.0,163618.0,0.0,10.0,0.0,0.0,969508.0,Creciente,1,2025,9,2,13,0.0327237269772481,0.9208244853737813,0.0,1,0.08028532030799562,0.9197146796920044,Pago a tiempo
9,2025-03-06 10:54:00,4949838.0,11.0,45.0,Independiente,4000000.0,2000000.0,389741.0,92.228643,868.0,7.0,2.0,0.0,65631.0,65631.0,0.0,3.0,2.0,0.0,923771.0,Creciente,1,2025,3,3,10,0.09743525,1.7374595,0.0,1,0.20425641151626872,0.7957435884837313,Pago a tiempo
9,2025-01-15 17:12:00,2407514.0,10.0,67.0,Empleado,2000000.0,1500000.0,204194.0,95.227787,761.0,4.0,0.0,0.0,29817.0,29817.0,,2.0,0.0,2.0,,,1,2025,1,2,17,0.102097,1.953757,0.0,1,0.20841963932571983,0.7915803606742802,Pago a tiempo
9,2025-02-22 11:26:00,878880.0,8.0,63.0,Independiente,5000000.0,2000000.0,91585.0,95.227787,819.0,8.0,3.0,0.0,157476.0,108281.0,0.0,1.0,3.0,4.0,,,1,2025,2,5,11,0.018317,0.575776,49195.0,1,0.3883110121060399,0.6116889878939601,Pago a tiempo
9,2024-12-04 17:21:00,1653325.0,9.0,43.0,Independiente,2000000.0,1700000.0,154185.0,95.227787,789.0,1.0,2.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,,,1,2024,12,2,17,0.0770925,1.6766625,0.0,1,0.37283664259863236,0.6271633574013676,Pago a tiempo
9,2025-01-10 11:37:00,4541006.0,9.0,42.0,Empleado,5000000.0,2000000.0,424091.0,95.227787,823.0,3.0,2.0,0.0,35257.0,18477.0,0.0,1.0,1.0,0.0,30285.0,Decreciente,1,2025,1,4,11,0.0848182,1.3082012,16780.0,1,0.2898677422444965,0.7101322577555035,Pago a tiempo
4,2025-08-11 18:52:00,3623280.0,6.0,43.0,Empleado,605733.0,3797000.0,542685.0,95.227787,805.0,3.0,4.0,0.0,49124.0,49124.0,0.0,0.0,0.0,3.0,605733.0,Creciente,1,2025,8,0,18,0.8959145366027607,12.250083782788789,0.0,1,0.1403120650551749,0.8596879349448251,Pago a tiempo
